add device 1: /dev/input/event10
add device 3: /dev/input/event1
[1423674092.246616] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.258705] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.258716] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000026d            
[1423674092.258719] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003b4            
[1423674092.258723] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.270982] /dev/input/event1: EV_ABS       003f                 00000016            
[1423674092.270990] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000229            
[1423674092.270994] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003c7            
[1423674092.271001] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.283325] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.283335] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001f6            
[1423674092.283341] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003d4            
[1423674092.283354] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.295525] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.295533] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001db            
[1423674092.295536] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003dd            
[1423674092.295541] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.308113] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001ce            
[1423674092.308122] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003e3            
[1423674092.308127] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000006            
[1423674092.308133] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.320130] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.320137] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001cb            
[1423674092.320140] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003e6            
[1423674092.320144] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.332260] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.332265] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001cc            
[1423674092.332268] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003e8            
[1423674092.332274] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.344532] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674092.344540] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000001e0            
[1423674092.344542] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003ea            
[1423674092.344546] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.356844] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.356851] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000236            
[1423674092.356853] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003d9            
[1423674092.356858] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
