add device 1: /dev/input/event10
add device 2: /dev/input/event0
add device 3: /dev/input/event1
add device 4: /dev/input/event7
add device 5: /dev/input/event9
add device 6: /dev/input/event8
add device 7: /dev/input/event6
add device 8: /dev/input/event5
add device 9: /dev/input/event4
add device 10: /dev/input/event3
add device 11: /dev/input/event2
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040a
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000014
/dev/input/event1: 0003 0035 0000062c
/dev/input/event1: 0003 0036 000003d6
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event6: 0002 0006 00000065
/dev/input/event6: 0002 0007 00000062
/dev/input/event6: 0002 0008 00000042
/dev/input/event6: 0002 0009 00000053
/dev/input/event6: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 00000679
/dev/input/event1: 0003 0036 000003c2
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 000006d1
/dev/input/event1: 0003 0036 000003aa
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040a
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 00000727
/dev/input/event1: 0003 0036 00000390
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000014
/dev/input/event1: 0003 0035 0000077b
/dev/input/event1: 0003 0036 00000376
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 00000409
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 000007cc
/dev/input/event1: 0003 0036 00000356
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000816
/dev/input/event1: 0003 0036 00000338
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040a
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 0000085f
/dev/input/event1: 0003 0036 00000319
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff0
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000014
/dev/input/event1: 0003 0035 0000089e
/dev/input/event1: 0003 0036 000002f8
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 000008dc
/dev/input/event1: 0003 0036 000002d6
/dev/input/event1: 0000 0000 00000000
